Timestamp,Crop,Price,Market Demand
2020-01-31,Saffron,22435.97,Record-high prices due to global scarcity
2020-02-29,Saffron,21217.58,Record-high prices due to global scarcity
2020-03-31,Saffron,20300.8,Record-high prices due to global scarcity
2020-04-30,Saffron,18560.29,Record-high prices due to global scarcity
2020-05-31,Saffron,23535.05,Record-high prices due to global scarcity
2020-06-30,Saffron,20063.28,Record-high prices due to global scarcity
2020-07-31,Saffron,19458.33,Record-high prices due to global scarcity
2020-08-31,Saffron,20965.28,Record-high prices due to global scarcity
2020-09-30,Saffron,23187.34,Record-high prices due to global scarcity
2020-10-31,Saffron,23378.59,Record-high prices due to global scarcity
2020-11-30,Saffron,18039.94,Record-high prices due to global scarcity
2020-12-31,Saffron,23184.66,Record-high prices due to global scarcity
2021-01-31,Saffron,18676.57,Record-high prices due to global scarcity
2021-02-28,Saffron,19836.04,Record-high prices due to global scarcity
2021-03-31,Saffron,19612.72,Record-high prices due to global scarcity
2021-04-30,Saffron,19188.32,Record-high prices due to global scarcity
2021-05-31,Saffron,23955.73,Record-high prices due to global scarcity
2021-06-30,Saffron,22888.4,Record-high prices due to global scarcity
2021-07-31,Saffron,18458.29,Record-high prices due to global scarcity
2021-08-31,Saffron,18905.52,Record-high prices due to global scarcity
2021-09-30,Saffron,18115.86,Record-high prices due to global scarcity
2021-10-31,Saffron,22490.99,Record-high prices due to global scarcity
2021-11-30,Saffron,22795.81,Record-high prices due to global scarcity
2021-12-31,Saffron,20729.35,Record-high prices due to global scarcity
2022-01-31,Saffron,19571.81,Record-high prices due to global scarcity
2022-02-28,Saffron,21853.68,Record-high prices due to global scarcity
2022-03-31,Saffron,19670.88,Record-high prices due to global scarcity
2022-04-30,Saffron,19716.11,Record-high prices due to global scarcity
2022-05-31,Saffron,21057.23,Record-high prices due to global scarcity
2022-06-30,Saffron,22627.44,Record-high prices due to global scarcity
2022-07-31,Saffron,22752.3,Record-high prices due to global scarcity
2022-08-31,Saffron,20547.27,Record-high prices due to global scarcity
2022-09-30,Saffron,21353.66,Record-high prices due to global scarcity
2022-10-31,Saffron,22706.01,Record-high prices due to global scarcity
2022-11-30,Saffron,20913.91,Record-high prices due to global scarcity
2022-12-31,Saffron,20324.37,Record-high prices due to global scarcity
2023-01-31,Saffron,21939.02,Record-high prices due to global scarcity
2023-02-28,Saffron,21764.39,Record-high prices due to global scarcity
2023-03-31,Saffron,23348.23,Record-high prices due to global scarcity
2023-04-30,Saffron,18535.22,Record-high prices due to global scarcity
2023-05-31,Saffron,21574.09,Record-high prices due to global scarcity
2023-06-30,Saffron,22986.49,Record-high prices due to global scarcity
2023-07-31,Saffron,22167.4,Record-high prices due to global scarcity
2023-08-31,Saffron,23721.46,Record-high prices due to global scarcity
2023-09-30,Saffron,22540.97,Record-high prices due to global scarcity
2023-10-31,Saffron,18133.72,Record-high prices due to global scarcity
2023-11-30,Saffron,20083.76,Record-high prices due to global scarcity
2023-12-31,Saffron,20413.74,Record-high prices due to global scarcity
2024-01-31,Saffron,22622.64,Record-high prices due to global scarcity
2024-02-29,Saffron,22288.24,Record-high prices due to global scarcity
2024-03-31,Saffron,20208.4,Record-high prices due to global scarcity
2024-04-30,Saffron,20384.1,Record-high prices due to global scarcity
2024-05-31,Saffron,23627.83,Record-high prices due to global scarcity
2024-06-30,Saffron,21468.0,Record-high prices due to global scarcity
2024-07-31,Saffron,21042.91,Record-high prices due to global scarcity
2024-08-31,Saffron,21166.57,Record-high prices due to global scarcity
2024-09-30,Saffron,20589.35,Record-high prices due to global scarcity
2024-10-31,Saffron,21227.61,Record-high prices due to global scarcity
2024-11-30,Saffron,23547.36,Record-high prices due to global scarcity
2024-12-31,Saffron,23193.06,Record-high prices due to global scarcity
